,time,volume,price,percentage,_PREV_CLOSE,_OPEN_PRICE
0,1555183893.8764696,0,0,0,0,0
0,1555183929.9211812,"286,684",533.75,-3.40,537.15,538.70
0,1555184006.678048,"286,684",533.75,-3.40,537.15,538.70
